text,label
keep this btwn us,Predatory
move this convo to dms,Predatory
stop acting scared,Predatory
this chat dead lowk,Not Predatory
trust me it’s safe,Predatory
slide me ur addy,Predatory
anyone got hw done?,Not Predatory
this chat dead lowk,Not Predatory
bruh u selling 😭,Not Predatory
no1 gotta kno,Predatory
move this convo to dms,Predatory
bruh u always late,Not Predatory
bruh u always late,Not Predatory
nah i gotta dip,Not Predatory
i won’t snitch dw,Predatory
stop acting scared,Predatory
stop acting scared,Predatory
yo queue up,Not Predatory
bruh u always late,Not Predatory
nah i’m off discord rn,Not Predatory
don’t say nun abt this,Predatory
no1 gotta kno,Predatory
this just btwn u n me,Predatory
slide me ur addy,Predatory
trust me it’s safe,Predatory
that skin kinda fire,Not Predatory
nah i’m off discord rn,Not Predatory
lol that meme killed me,Not Predatory
lmfao u trash 😂,Not Predatory
yo u in comp?,Not Predatory
promise i won’t tell,Predatory
i won’t snitch dw,Predatory
nobody else gotta see,Predatory
anyone got hw done?,Not Predatory
move this convo to dms,Predatory
ggs that was fun,Not Predatory
we gotta keep quiet,Predatory
how old r u fr?,Predatory
come thru tmrw,Predatory
nah i lagged,Not Predatory
we shud link up irl,Predatory
come thru tmrw,Predatory
bro that clutch was insane,Not Predatory
we gotta keep quiet,Predatory
nobody else gotta see,Predatory
slide me ur addy,Predatory
ggs that was fun,Not Predatory
ggs that was fun,Not Predatory
this wifi trash smh,Not Predatory
yo u in comp?,Not Predatory
we shud link up irl,Predatory
this wifi trash smh,Not Predatory
nah i lagged,Not Predatory
anyone tryna play later?,Not Predatory
we gotta keep quiet,Predatory
this wifi trash smh,Not Predatory
promise i won’t tell,Predatory
stop acting scared,Predatory
this just btwn u n me,Predatory
this chat dead lowk,Not Predatory
yo queue up,Not Predatory
keep this btwn us,Predatory
nah i lagged,Not Predatory
nah i gotta dip,Not Predatory
no1 gotta kno,Predatory
keep this btwn us,Predatory
move this convo to dms,Predatory
ur parents don’t gotta kno,Predatory
this lobby sweaty af,Not Predatory
bruh u selling 😭,Not Predatory
send me a pic rq,Predatory
move this convo to dms,Predatory
just send it here,Predatory
ur parents don’t gotta kno,Predatory
promise i won’t tell,Predatory
