text,label
"school starts too early idk tomorrow, fr i’m already tired just thinking about waking up at 6 just saying",Not Predatory
"school starts too early bro tomorrow, i’m already tired just tbh thinking about waking up fr at 6 just saying",Not Predatory
"last night for real was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes what do you think",Not Predatory
idk for real how you always top frag but every time you carry our team its wild be honest,Not Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes that’s all",Not Predatory
"you really stand out to me, kinda wish we could talk just the two of us seriously though",Predatory
"bro that anime fight scene was insane, no way the villain actually pulled that move off that’s all",Not Predatory
"i feel like we understand each other more than anyone else here, we should talk more alone what do you think",Predatory
"we always have good convos, would ngl be cool if we hung out just us irl not even kidding",Predatory
"youre kinda different from the others here, i feel like we connect more than anyone else that’s all",Predatory
"this meme is too funny, for real idk i actually dropped my phone fr laughing so hard earlier what do you think",Not Predatory
"you seem really fun to no joke talk bro for real honestly to, we should keep chatting just us sometime you feel me",Predatory
"school starts too early tomorrow, tbh i’m already tired just thinking about waking up at 6 you feel me",Not Predatory
"i lol like idk tbh talking to you, it idk feels different, maybe we should keep it private just saying",Predatory
"last bro night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes just saying",Not Predatory
"dont tell anyone but i think you’re cool, no joke for real we should keep our chats between us that’s all",Predatory
"youre kinda different fr for real from the others here, i feel like we connect more than anyone else seriously though",Predatory
"you seem really fun to talk to, we should keep chatting just lol us bro sometime trust me on this",Predatory
"cant believe you lagged out right before the win, we were all screaming in vc what do you think",Not Predatory
"last night was hilarious, we stayed in vc for for real hours and for real couldnt stop laughing at dumb jokes not even kidding",Not Predatory
"we always have good convos, tbh would ngl be cool if we hung fr out just us irl seriously though",Predatory
"i like how no joke you always respond fr quick, maybe we honestly can talk privately sometime honestly lol bro soon that’s all",Predatory
you make vc fun but i think i’d like it even more if it ngl was just us trust me on this,Predatory
"this meme is too funny, i actually dropped my honestly phone laughing so hard earlier that’s all",Not Predatory
"this for real meme is too funny, i actually dropped my phone tbh fr laughing so hard earlier just saying",Not Predatory
"you seem really fun to talk to, we should keep chatting ngl just us for real sometime just saying",Predatory
"school starts too early tomorrow, i’m already tbh tired just thinking fr about waking up at 6 not even kidding",Not Predatory
that movie ngl we watched last weekend honestly was way honestly idk better than i for real expected honestly seriously though,Not Predatory
"dont tell anyone but i think you’re cool, for real we should keep our chats between us just saying",Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes trust me on this",Not Predatory
"i feel like we understand each other more than anyone else here, we idk should talk more alone be honest",Predatory
"i feel like we understand each other more than anyone else here, we should talk more alone not even kidding",Predatory
"idk but i feel like we get along really well, maybe we should meet one lol day be honest",Predatory
"idk but i feel like we get along for real really well, maybe we should meet no joke one day you feel me",Predatory
"you seem really fun to talk to, we should keep bro tbh chatting just us sometime seriously though",Predatory
"dont tell anyone but i think you’re cool, we ngl should keep our chats between us you feel me",Predatory
"dont tell anyone but i lol think you’re cool, we should keep our chats between us seriously though",Predatory
"i like talking to you, it feels fr different, for real honestly maybe we should keep it private that’s all",Predatory
"i feel like we understand each other more than anyone else here, we should talk more alone trust me on this",Predatory
"this meme is too funny, i actually dropped my lol phone ngl laughing so tbh hard earlier seriously though",Not Predatory
"this meme is too funny, i actually dropped my phone laughing so honestly hard earlier what do you think",Not Predatory
"i cant believe we lost that many games in a row, we gotta redeem idk ourselves tonight trust me on this",Not Predatory
"you really stand out to ngl me, kinda wish we could talk just the two of tbh us that’s all",Predatory
you make vc fun but i think i’d like it even more if it was just us not even kidding,Predatory
"i like how you always respond quick, ngl lol maybe we bro no joke can talk privately sometime soon be honest",Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes just saying",Not Predatory
idk how you always top frag but ngl every time you carry our team its tbh wild be honest,Not Predatory
"ngl the squad no joke energy last night was unmatched, we really played like 10 matches in a row you feel me",Not Predatory
"i like talking to you, it fr feels different, idk maybe we should keep it private what do you think",Predatory
"we always for real have ngl good convos, would be tbh cool if we hung out just us irl you feel me",Predatory
the bro new bro update looks solid but i swear they broke half the weapons again be honest,Not Predatory
"you really stand out to me, kinda wish we could talk no joke just the two of us you feel me",Predatory
"dont tell anyone but i tbh think you’re cool, we should keep our lol chats between us what do you think",Predatory
"idk but i feel like we get along no joke really well, maybe fr we should meet one day just saying",Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes what do you think",Not Predatory
"bro that anime fight scene was insane, no way the villain actually pulled that move off what do you think",Not Predatory
"youre kinda different ngl from the others here, i feel like we connect more than anyone else that’s all",Predatory
"i like talking to you, it feels for real different, fr maybe honestly we should keep it private just saying",Predatory
"idk but i feel like we get along really well, maybe bro we should meet one day what do you think",Predatory
"we always idk have good convos, tbh would be cool if we hung out for real just us irl not even kidding",Predatory
"you really stand out fr to me, kinda wish we could talk just the two of idk us just saying",Predatory
"i fr tbh feel like we understand each other more than anyone else here, we should talk more alone trust me on this",Predatory
"youre kinda different from the others here, i feel like for real ngl we connect more than anyone else you feel me",Predatory
"cant believe honestly you bro lagged out right before the win, we were all screaming in vc that’s all",Not Predatory
"i cant believe we lost that many games in a row, we honestly gotta redeem ourselves tonight you feel me",Not Predatory
